Pollinators of Apocynaceae Database,,,,,,,,,,
,,,,,,,,,,
Observations in the database,5061,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Clade number,Subfamily,Tribe,Subtribe,Species,Country,Pollinators/Flower visitors,Higher taxon,Code,Reference,Name used in original publication
1,Rauvolfioids,Aspidospermateae,,Aspidosperma polyneuron ,Brazil,Phalaenophily,,1,Pezzini 2008,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Erinnyis ello,Lepdoptera: Sphingidae,1,"Joel Queiroz, Zelma Quirino & Isabel Machado unpublished data",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Callionima grisescens,Lepdoptera: Sphingidae,1,"Joel Queiroz, Zelma Quirino & Isabel Machado unpublished data",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Ascia monuste,Lepdoptera: Pieridae ,1,"Joel Queiroz, Zelma Quirino & Isabel Machado unpublished data",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,"""noctuids""",Lepdoptera: Noctuidae,1,"Joel Queiroz, Zelma Quirino & Isabel Machado unpublished data",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,"""butterfly""",Lepdoptera: Hesperiidae,1,"Joel Queiroz, Zelma Quirino & Isabel Machado unpublished data",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Apis mellifera,Hymenoptera: Apidae,1B,"Joel Queiroz, Zelma Quirino & Isabel Machado unpublished data",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Trigona spinipes,Hymenoptera: Apidae,1,"Joel Queiroz, Zelma Quirino & Isabel Machado unpublished data",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Xylocopa grisescens,Hymenoptera: Apidae,1,"Joel Queiroz, Zelma Quirino & Isabel Machado unpublished data",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Erinnyis ello ,Lepidoptera: Sphingidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Callionima grisescens ,Lepidoptera: Sphingidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Noctuídeo sp.1,Lepidoptera: Noctuidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Noctuídeo sp.2,Lepidoptera: Noctuidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Noctuídeo sp.3,Lepidoptera: Noctuidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Noctuídeo sp.4,Lepidoptera: Noctuidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Noctuídeo sp.5,Lepidoptera: Noctuidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Ascia monuste ,Lepidoptera: Pieridae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Urbanus sp. ,Lepidoptera: Hesperiidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Colgia calchas ,Lepidoptera: Hesperiidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Apis mellifera ,Hymenoptera: Apidae: Apini,4B,Queiroz 2009,
